#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A42005
#Date Time: 2018-03-08 09:48:49.819
#Sample rate: 487805Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V

Time (s),Channel 1 (V)
-0.014032705555555556,-0.0061408123235986321
-0.014030655555555556,-0.0054692355707645539
-0.014028605555555556,-0.0051334471943469805
-0.014026555555555556,-0.0037902936886791295
-0.014024505555555556,-0.0024471401830106687
-0.014022455555555556,-0.0047976588179304757
-0.014020405555555556,-0.0054692355707647066
-0.014018355555555556,-0.005805023947181822
-0.014016305555555556,-0.0054692355707647066
-0.014014255555555556,-0.0034545053122620145
-0.014012205555555556,-0.0047976588179304757
-0.014010155555555556,-0.0037902936886791295
-0.014008105555555556,-0.0027829285594277841
-0.014006055555555556,-0.0041260820650962449
-0.014004005555555556,-0.0041260820650962449
-0.014001955555555556,-0.0044618704415133603
-0.013999905555555556,-0.0047976588179304757
-0.013997855555555556,-0.0041260820650962449
-0.013995805555555556,-0.0027829285594277841
-0.013993755555555557,-0.0031187169358448995
-0.013991705555555557,-0.0027829285594277841
-0.013989655555555557,-0.0034545053122620145
-0.013987605555555557,-0.0054692355707647066
-0.013985555555555557,-0.0034545053122620145
-0.013983505555555557,-0.0034545053122620145
-0.013981455555555557,-0.0034545053122620145
-0.013979405555555557,-0.0037902936886791295
-0.013977355555555557,-0.0031187169358448995
-0.013975305555555557,-0.0037902936886791295
-0.013973255555555557,-0.0044618704415133603
-0.013971205555555557,-0.0034545053122620145
-0.013969155555555557,-0.0051334471943475912
-0.013967105555555557,-0.0034545053122620145
-0.013965055555555557,-0.0021113518065941639
-0.013963005555555557,-0.0021113518065935533
-0.013960955555555557,-0.002447140183010516
-0.013958905555555557,-0.0027829285594276314
-0.013956855555555557,-0.0037902936886786715
-0.013954805555555557,-0.0037902936886791295
-0.013952755555555557,-0.0027829285594282421
-0.013950705555555557,-0.0021113518065938586
-0.013948655555555557,-0.0034545053122614034
-0.013946605555555557,-0.0034545053122620145
-0.013944555555555557,-0.0041260820650959396
-0.013942505555555557,-0.0047976588179301704
-0.013940455555555554,-0.0041260820650971608
-0.013938405555555554,-0.0047976588179291018
-0.013936355555555554,-0.0037902936886809618
-0.013934305555555554,-0.0051334471943457584
-0.013932255555555554,-0.0037902936886772972
-0.013930205555555554,-0.0024471401830134173
-0.013928155555555554,-0.0044618704415106116
-0.013926105555555554,-0.0024471401830106687
-0.013924055555555554,-0.0024471401830129589
-0.013922005555555554,-0.0041260820650974661
-0.013919955555555554,-0.00546923557076318
-0.013917905555555554,-0.0037902936886800459
-0.013915855555555554,-0.0047976588179301704
-0.013913805555555554,-0.0044618704415142763
-0.013911755555555554,-0.0054692355707644013
-0.013909705555555554,-0.0051334471943482018
-0.013907655555555554,-0.0058050239471824326
-0.013905605555555554,-0.0064766007000142201
-0.013903555555555554,-0.0044618704415145816
-0.013901505555555554,-0.0058050239471802954
-0.013899455555555554,-0.0041260820650956343
-0.013897405555555555,-0.0034545053122620145
-0.013895355555555555,-0.0034545053122635415
-0.013893305555555555,-0.0051334471943463699
-0.013891255555555555,-0.0037902936886797401
-0.013889205555555555,-0.0044618704415145816
-0.013887155555555555,-0.0058050239471821273
-0.013885105555555555,-0.0061408123235977162
-0.013883055555555555,-0.004797658817930781
-0.013881005555555555,-0.0051334471943478965
-0.013878955555555555,-0.0054692355707650119
-0.013876905555555555,-0.0058050239471806007
-0.013874855555555555,-0.0044618704415133603
-0.013872805555555555,-0.0044618704415124444
-0.013870755555555555,-0.0034545053122623198
-0.013868705555555555,-0.0037902936886797401
-0.013866655555555555,-0.0044618704415127497
-0.013864605555555555,-0.0037902936886791295
-0.013862555555555555,-0.0037902936886800459
-0.013860505555555555,-0.0047976588179309337
-0.013858455555555555,-0.0058050239471815167
-0.013856405555555555,-0.0051334471943468279
-0.013854355555555555,-0.0034545053122626251
-0.013852305555555555,-0.004797658817931239
-0.013850255555555555,-0.0064766007000155949
-0.013848205555555555,-0.0054692355707634853
-0.013846155555555555,-0.0027829285594287005
-0.013844105555555555,-0.0047976588179306284
-0.013842055555555555,-0.0051334471943472858
-0.013840005555555555,-0.0044618704415138183
-0.013837955555555555,-0.0054692355707647066
-0.013835905555555555,-0.005469235570764096
-0.013833855555555555,-0.0041260820650962449
-0.013831805555555556,-0.0041260820650963976
-0.013829755555555556,-0.004461870441513055
-0.013827705555555556,-0.0037902936886795874
-0.013825655555555556,-0.0047976588179303231
-0.013823605555555556,-0.0044618704415132077
-0.013821555555555556,-0.0041260820650962449
-0.013819505555555556,-0.0041260820650950237
-0.013817455555555556,-0.0014397750537603917
-0.013815405555555556,-0.0037902936886800459
-0.013813355555555556,-0.00580502394718228
-0.013811305555555556,-0.0068123890764324041
-0.013809255555555556,-0.0051334471943471332
-0.013807205555555556,-0.0041260820650960922
-0.013805155555555556,-0.0037902936886794348
-0.013803105555555556,-0.0044618704415136656
-0.013801055555555556,-0.0051334471943475912
-0.013799005555555556,-0.0044618704415133603
-0.013796955555555556,-0.0047976588179304757
-0.013794905555555556,-0.0047976588179304757
-0.013792855555555556,-0.0047976588179304757
-0.013790805555555556,-0.0041260820650962449
-0.013788755555555556,-0.0051334471943475912
-0.013786705555555556,-0.0037902936886791295
-0.013784655555555556,-0.0047976588179304757
-0.013782605555555556,-0.0051334471943475912
-0.013780555555555556,-0.005805023947181822
-0.013778505555555556,-0.005805023947181822
-0.013776455555555556,-0.0061408123235989374
-0.013774405555555556,-0.0047976588179304757
-0.013772355555555556,-0.005805023947181822
-0.013770305555555556,-0.0054692355707647066
-0.013768255555555556,-0.0068123890764331674
-0.013766205555555557,-0.0064766007000160528
-0.013764155555555557,-0.005805023947181822
-0.013762105555555557,-0.0041260820650962449
-0.013760055555555557,-0.0047976588179304757
-0.013758005555555557,-0.0041260820650962449
-0.013755955555555557,-0.005805023947181822
-0.013753905555555557,-0.0064766007000160528
-0.013751855555555557,-0.0061408123235989374
-0.013749805555555557,-0.0051334471943475912
-0.013747755555555557,-0.0064766007000160528
-0.013745705555555557,-0.0071481774528502828
-0.013743655555555557,-0.0054692355707647066
-0.013741605555555557,-0.0071481774528502828
-0.013739555555555557,-0.0054692355707654699
-0.013737505555555557,-0.0054692355707647066
-0.013735455555555557,-0.0051334471943477438
-0.013733405555555557,-0.0058050239471815167
-0.013731355555555557,-0.0037902936886800459
-0.013729305555555557,-0.0054692355707639433
-0.013727255555555557,-0.0058050239471816693
-0.013725205555555557,-0.0044618704415139709
-0.013723155555555557,-0.0051334471943472858
-0.013721105555555557,-0.0051334471943475912
-0.013719055555555557,-0.0044618704415136656
-0.013717005555555557,-0.0051334471943472858
-0.013714955555555557,-0.0058050239471815167
-0.013712905555555554,-0.0064766007000169688
-0.013710855555555554,-0.0071481774528498248
-0.013708805555555554,-0.0068123890764322514
-0.013706755555555554,-0.0061408123235989374
-0.013704705555555554,-0.0061408123235966467
-0.013702655555555554,-0.0044618704415147342
-0.013700605555555554,-0.0054692355707637906
-0.013698555555555554,-0.0047976588179309337
-0.013696505555555554,-0.0051334471943469805
-0.013694455555555554,-0.0044618704415142763
-0.013692405555555554,-0.0054692355707659278
-0.013690355555555554,-0.0068123890764316408
-0.013688305555555554,-0.0051334471943485071
-0.013686255555555554,-0.006140812323599548
-0.013684205555555554,-0.0068123890764331674
-0.013682155555555554,-0.0068123890764319461
-0.013680105555555554,-0.0054692355707647066
-0.013678055555555554,-0.0054692355707653172
-0.013676005555555554,-0.0061408123235989374
-0.013673955555555554,-0.0061408123235983268
-0.013671905555555555,-0.0054692355707644013
-0.013669855555555555,-0.0051334471943472858
-0.013667805555555555,-0.0047976588179304757
-0.013665755555555555,-0.0047976588179301704
-0.013663705555555555,-0.0044618704415124444
-0.013661655555555555,-0.0034545053122629309
-0.013659605555555555,-0.0044618704415148869
-0.013657555555555555,-0.0061408123235980215
-0.013655505555555555,-0.0051334471943485071
-0.013653455555555555,-0.006140812323599548
-0.013651405555555555,-0.0068123890764325568
-0.013649355555555555,-0.0061408123235986321
-0.013647305555555555,-0.0058050239471809061
-0.013645255555555555,-0.004797658817931697
-0.013643205555555555,-0.0061408123235977162
-0.013641155555555555,-0.0047976588179301704
-0.013639105555555555,-0.0044618704415148869
-0.013637055555555555,-0.0061408123235992427
-0.013635005555555555,-0.0064766007000157475
-0.013632955555555555,-0.0058050239471821273
-0.013630905555555555,-0.0064766007000159002
-0.013628855555555555,-0.0061408123235986321
-0.013626805555555555,-0.0054692355707647066
-0.013624755555555555,-0.0054692355707648592
-0.013622705555555555,-0.0058050239471828906
-0.013620655555555555,-0.0081555425821002552
-0.013618605555555555,-0.0051334471943488124
-0.013616555555555555,-0.0078197542056837495
-0.013614505555555555,-0.0061408123235993954
-0.013612455555555555,-0.0071481774528502828
-0.013610405555555555,-0.0071481774528496722
-0.013608355555555555,-0.00580502394718228
-0.013606305555555556,-0.0068123890764327094
-0.013604255555555556,-0.005805023947181822
-0.013602205555555556,-0.0058050239471819746
-0.013600155555555556,-0.0061408123235986321
-0.013598105555555556,-0.0054692355707645539
-0.013596055555555556,-0.0051334471943480491
-0.013594005555555556,-0.0061408123235992427
-0.013591955555555556,-0.0068123890764334727
-0.013589905555555556,-0.0074839658292672456
-0.013587855555555556,-0.0071481774528492142
-0.013585805555555556,-0.0047976588179303231
-0.013583755555555556,-0.0044618704415139709
-0.013581705555555556,-0.0058050239471825853
-0.013579655555555556,-0.0074839658292672456
-0.013577605555555556,-0.0071481774528502828
-0.013575555555555556,-0.0071481774528501301
-0.013573505555555556,-0.0068123890764331674
-0.013571455555555556,-0.0044618704415133603
-0.013569405555555556,-0.0041260820650962449
-0.013567355555555556,-0.0041260820650962449
-0.013565305555555556,-0.005805023947181822
-0.013563255555555556,-0.0068123890764331674
-0.013561205555555556,-0.0064766007000160528
-0.013559155555555556,-0.0037902936886791295
-0.013557105555555556,-0.0051334471943475912
-0.013555055555555556,-0.005805023947181822
-0.013553005555555556,-0.0074839658292673982
-0.013550955555555556,-0.0064766007000160528
-0.013548905555555556,-0.0061408123235989374
-0.013546855555555556,-0.0068123890764331674
-0.013544805555555556,-0.0074839658292673982
-0.013542755555555556,-0.0071481774528502828
-0.013540705555555557,-0.0081555425821016291
-0.013538655555555557,-0.005805023947181822
-0.013536605555555557,-0.0084913309585187436
-0.013534555555555557,-0.0068123890764331674
-0.013532505555555557,-0.0074839658292673982
-0.013530455555555557,-0.0061408123235989374
-0.013528405555555557,-0.0054692355707647066
-0.013526355555555557,-0.0064766007000160528
-0.013524305555555557,-0.0074839658292673982
-0.013522255555555557,-0.0081555425821016291
-0.013520205555555557,-0.0064766007000160528
-0.013518155555555557,-0.0081555425821016291
-0.013516105555555557,-0.0088271193349358599
-0.013514055555555557,-0.0071481774528510461
-0.013512005555555557,-0.0081555425821011711
-0.013509955555555557,-0.0084913309585185909
-0.013507905555555557,-0.0068123890764339307
-0.013505855555555557,-0.0068123890764331674
-0.013503805555555557,-0.0047976588179313925
-0.013501755555555557,-0.0061408123235983268
-0.013499705555555557,-0.0054692355707650119
-0.013497655555555557,-0.004797658817930781
-0.013495605555555557,-0.0061408123235983268
-0.013493555555555557,-0.0058050239471819746
-0.013491505555555557,-0.0061408123235987848
-0.013489455555555557,-0.0054692355707650119
-0.013487405555555554,-0.0054692355707665393
-0.013485355555555554,-0.0068123890764345413
-0.013483305555555554,-0.0078197542056822229
-0.013481255555555554,-0.0061408123235993954
-0.013479205555555554,-0.0064766007000151369
-0.013477155555555554,-0.0058050239471809061
-0.013475105555555554,-0.0051334471943480491
-0.013473055555555554,-0.0054692355707656225
-0.013471005555555554,-0.0061408123235998533
-0.013468955555555554,-0.0068123890764322514
